,CH2017,CH2018,CH2021,CH2022,HM2017,HM2018,HM2021,JC2017,JC2018,JC2021,MM2017,MM2018,MM2021,PL2017,PL2018,PL2021,PL2022,RP2021,RP2022,SC2017,SC2018,SC2021,SM2017,SM2018,SM2021,SS2017,UK2017,VC2017
CH2017,0,0.657347359,0.967703759,0.790030725,0.912148088,0.9300587,0.917592113,0.916031146,0.948816584,0.966915619,0.987320861,0.980939567,0.960857617,1,0.813551287,0.820064515,0.998881517,0.838249933,0.779923902,0.965847255,0.981878587,0.96956913,0.942247381,0.966868853,0.951430824,0.94087967,0.985709071,0.930477161
CH2018,0.657347359,0,0.036222916,0.348561701,0.990288623,0.994322946,0.99380553,0.992527666,0.992932361,0.997015927,0.98560752,0.98535341,0.985271639,1,0.759490339,0.707747855,0.999699697,0.479954733,0.554195153,0.992950695,0.997892295,0.997788235,0.997203808,0.997817929,0.997282665,0.996644938,0.995593228,0.993501693
CH2021,0.967703759,0.036222916,0,0.249893047,0.97978525,0.980402409,0.985953308,0.992698942,0.997130467,0.996218947,0.992176529,0.986369655,0.983678357,1,0.985902639,0.986246384,1,0.115060395,0.299004431,0.994355942,0.997482934,0.99511856,0.993112191,0.993568891,0.993219149,0.993143572,0.999193225,0.992273287
CH2022,0.790030725,0.348561701,0.249893047,0,0.890588326,0.930129948,0.998557559,0.989624526,0.996727705,0.999532681,0.991587802,0.991496903,0.991660747,1,0.740700782,0.78768891,0.99993941,0.576190446,0.437442975,0.999664033,0.999687167,0.999667128,0.999572036,0.999663856,0.999574485,0.999630147,0.989798435,0.989843334
HM2017,0.912148088,0.990288623,0.97978525,0.890588326,0,0.851193155,0.46731285,0.493060456,0.726194635,0.435062368,0.570633558,0.741538954,0.622696895,0.998228521,0.6163161,0.464307736,0.999630198,0.887908573,0.848015542,0.461736075,0.64452705,0.576912121,0.393294577,0.541393945,0.377602583,0.648905045,0.927026131,0.859717474
HM2018,0.9300587,0.994322946,0.980402409,0.930129948,0.851193155,0,0.18669483,0.83209481,0.760234587,0.895778179,0.930945773,0.934321037,0.904239931,0.999926074,0.956384395,0.919228823,0.999051661,0.94349554,0.933758893,0.935707632,0.947820315,0.801189115,0.90826606,0.701830138,0.514164967,0.934699044,1,0.871556347
HM2021,0.917592113,0.99380553,0.985953308,0.998557559,0.46731285,0.18669483,0,0.79254102,0.785138091,0.669893788,0.795022362,0.84693884,0.760068216,0.999010064,0.795721735,0.705754549,0.999222688,0.952058062,0.967256502,0.89480121,0.763643598,0.785769521,0.817562167,0.482064166,0.260044621,0.771059099,0.989866275,0.833459321
JC2017,0.916031146,0.992527666,0.992698942,0.989624526,0.493060456,0.83209481,0.79254102,0,0.274407093,0.040839748,0.51711396,0.623477264,0.546885421,0.997224066,0.739707386,0.696751752,0.999881528,0.93492506,0.9020319,0.315697472,0.442270384,0.417167722,0.50765521,0.528247557,0.402093531,0.754791046,0.990562839,0.516518504
JC2018,0.948816584,0.992932361,0.997130467,0.996727705,0.726194635,0.760234587,0.785138091,0.274407093,0,0.019158325,0.803437417,0.716646907,0.531462114,0.999921821,0.985915629,0.98950715,0.999974119,0.995592562,0.988583351,0.478671878,0.487790701,0.341204096,0.728498321,0.718167984,0.412891582,0.998253329,0.997080089,0.737439964
JC2021,0.966915619,0.997015927,0.996218947,0.999532681,0.435062368,0.895778179,0.669893788,0.040839748,0.019158325,0,0.276486224,0.465204215,0.403671667,0.999976097,0.964573854,0.94779781,0.999884364,0.994978871,0.989443674,0.133444304,0.294848117,0.298017009,0.226581323,0.343043791,0.119019837,0.991832345,1,0.417244586
MM2017,0.987320861,0.98560752,0.992176529,0.991587802,0.570633558,0.930945773,0.795022362,0.51711396,0.803437417,0.276486224,0,0.011281399,0.170965605,0.953069448,0.873025919,0.864127538,1,0.985581284,0.946526642,0.522103603,0.678016078,0.608779949,0.351848703,0.589423102,0.34870983,0.991215987,0.993434273,0.758876135
MM2018,0.980939567,0.98535341,0.986369655,0.991496903,0.741538954,0.934321037,0.84693884,0.623477264,0.716646907,0.465204215,0.011281399,0,0.131146429,0.9780936,0.96837284,0.961533107,1,0.954576656,0.950844198,0.764038487,0.754613884,0.78847646,0.516385181,0.791090136,0.424435867,0.99828469,0.999794578,0.845815731
MM2021,0.960857617,0.985271639,0.983678357,0.991660747,0.622696895,0.904239931,0.760068216,0.546885421,0.531462114,0.403671667,0.170965605,0.131146429,0,0.995259302,0.983461317,0.982196349,1,0.97326879,0.964900385,0.639893502,0.621841013,0.65219876,0.483896343,0.663725759,0.275982696,0.994764311,0.999632601,0.721409538
PL2017,1,1,1,1,0.998228521,0.999926074,0.999010064,0.997224066,0.999921821,0.999976097,0.953069448,0.9780936,0.995259302,0,0.982855801,0.681993553,1,1,1,0.993427931,0.996055934,0.988969864,1,1,1,1,1,1
PL2018,0.813551287,0.759490339,0.985902639,0.740700782,0.6163161,0.956384395,0.795721735,0.739707386,0.985915629,0.964573854,0.873025919,0.96837284,0.983461317,0.982855801,0,0.465424698,0.999647949,0.849526699,0.560021675,0.945463235,0.974633363,0.949396961,0.985851324,0.948721657,0.95063797,0.608266063,0.612362875,0.957345308
PL2021,0.820064515,0.707747855,0.986246384,0.78768891,0.464307736,0.919228823,0.705754549,0.696751752,0.98950715,0.94779781,0.864127538,0.961533107,0.982196349,0.681993553,0.465424698,0,0.996185326,0.861436164,0.720009395,0.897241089,0.967883574,0.909116453,0.993332995,0.986969105,0.987168715,0.557992798,0.918707448,0.988518461
PL2022,0.998881517,0.999699697,1,0.99993941,0.999630198,0.999051661,0.999222688,0.999881528,0.999974119,0.999884364,1,1,1,1,0.999647949,0.996185326,0,1,1,1,1,1,1,1,1,1,1,0.998354771
RP2021,0.838249933,0.479954733,0.115060395,0.576190446,0.887908573,0.94349554,0.952058062,0.93492506,0.995592562,0.994978871,0.985581284,0.954576656,0.97326879,1,0.849526699,0.861436164,1,0,0.422828872,0.991060199,0.996987677,0.992833565,0.990483331,0.990933354,0.991549079,0.942989489,0.931147286,0.96898982
RP2022,0.779923902,0.554195153,0.299004431,0.437442975,0.848015542,0.933758893,0.967256502,0.9020319,0.988583351,0.989443674,0.946526642,0.950844198,0.964900385,1,0.560021675,0.720009395,1,0.422828872,0,0.993229892,0.993024948,0.993416266,0.993225435,0.994148656,0.994453159,0.983618546,0.893803756,0.910277851
SC2017,0.965847255,0.992950695,0.994355942,0.999664033,0.461736075,0.935707632,0.89480121,0.315697472,0.478671878,0.133444304,0.522103603,0.764038487,0.639893502,0.993427931,0.945463235,0.897241089,1,0.991060199,0.993229892,0,0.025972732,0.010003387,0.276226917,0.423666109,0.215106868,0.971538405,1,0.865684425
SC2018,0.981878587,0.997892295,0.997482934,0.999687167,0.64452705,0.947820315,0.763643598,0.442270384,0.487790701,0.294848117,0.678016078,0.754613884,0.621841013,0.996055934,0.974633363,0.967883574,1,0.996987677,0.993024948,0.025972732,0,0.004416477,0.579888838,0.636797116,0.533017255,0.996082203,1,0.636331987
SC2021,0.96956913,0.997788235,0.99511856,0.999667128,0.576912121,0.801189115,0.785769521,0.417167722,0.341204096,0.298017009,0.608779949,0.78847646,0.65219876,0.988969864,0.949396961,0.909116453,1,0.992833565,0.993416266,0.010003387,0.004416477,0,0.607545721,0.534989643,0.417570054,0.984080276,1,0.701292755
