"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0,0,0,0,190207.544532409,190207.544532409,190207.544532409,551345.592929065,551345.592929065,551345.592929065,302102.614334099,302102.614334099,302102.614334099,100638.913682098,100638.913682098,100638.913682098,100638.913682098,1508.89580072898,1508.89580072898,449827.800915329,449827.800915329,449827.800915329,400884.651949818,400884.651949818,400884.651949818,342683.353053651,346585.324896003,512329.713343449
"2",0,0,0,0,190207.544532409,190207.544532409,190207.544532409,551345.592929065,551345.592929065,551345.592929065,302102.614334099,302102.614334099,302102.614334099,100638.913682098,100638.913682098,100638.913682098,100638.913682098,1508.89580072898,1508.89580072898,449827.800915329,449827.800915329,449827.800915329,400884.651949818,400884.651949818,400884.651949818,342683.353053651,346585.324896003,512329.713343449
"3",0,0,0,0,190207.544532409,190207.544532409,190207.544532409,551345.592929065,551345.592929065,551345.592929065,302102.614334099,302102.614334099,302102.614334099,100638.913682098,100638.913682098,100638.913682098,100638.913682098,1508.89580072898,1508.89580072898,449827.800915329,449827.800915329,449827.800915329,400884.651949818,400884.651949818,400884.651949818,342683.353053651,346585.324896003,512329.713343449
"4",0,0,0,0,190207.544532409,190207.544532409,190207.544532409,551345.592929065,551345.592929065,551345.592929065,302102.614334099,302102.614334099,302102.614334099,100638.913682098,100638.913682098,100638.913682098,100638.913682098,1508.89580072898,1508.89580072898,449827.800915329,449827.800915329,449827.800915329,400884.651949818,400884.651949818,400884.651949818,342683.353053651,346585.324896003,512329.713343449
"5",190207.544532409,190207.544532409,190207.544532409,190207.544532409,0,0,0,417963.759549919,417963.759549919,417963.759549919,202294.125546411,202294.125546411,202294.125546411,118567.83606731,118567.83606731,118567.83606731,118567.83606731,191714.364625088,191714.364625088,317346.179648263,317346.179648263,317346.179648263,239329.015966053,239329.015966053,239329.015966053,343011.34634861,341176.012361217,361401.976495888
"6",190207.544532409,190207.544532409,190207.544532409,190207.544532409,0,0,0,417963.759549919,417963.759549919,417963.759549919,202294.125546411,202294.125546411,202294.125546411,118567.83606731,118567.83606731,118567.83606731,118567.83606731,191714.364625088,191714.364625088,317346.179648263,317346.179648263,317346.179648263,239329.015966053,239329.015966053,239329.015966053,343011.34634861,341176.012361217,361401.976495888
"7",190207.544532409,190207.544532409,190207.544532409,190207.544532409,0,0,0,417963.759549919,417963.759549919,417963.759549919,202294.125546411,202294.125546411,202294.125546411,118567.83606731,118567.83606731,118567.83606731,118567.83606731,191714.364625088,191714.364625088,317346.179648263,317346.179648263,317346.179648263,239329.015966053,239329.015966053,239329.015966053,343011.34634861,341176.012361217,361401.976495888
"8",551345.592929065,551345.592929065,551345.592929065,551345.592929065,417963.759549919,417963.759549919,417963.759549919,0,0,0,250306.939091118,250306.939091118,250306.939091118,526427.477976603,526427.477976603,526427.477976603,526427.477976603,552583.588000996,552583.588000996,102422.814469061,102422.814469061,102422.814469061,190025.498586614,190025.498586614,190025.498586614,340430.576047373,330042.335891985,79558.9207853811
"9",551345.592929065,551345.592929065,551345.592929065,551345.592929065,417963.759549919,417963.759549919,417963.759549919,0,0,0,250306.939091118,250306.939091118,250306.939091118,526427.477976603,526427.477976603,526427.477976603,526427.477976603,552583.588000996,552583.588000996,102422.814469061,102422.814469061,102422.814469061,190025.498586614,190025.498586614,190025.498586614,340430.576047373,330042.335891985,79558.9207853811
"10",551345.592929065,551345.592929065,551345.592929065,551345.592929065,417963.759549919,417963.759549919,417963.759549919,0,0,0,250306.939091118,250306.939091118,250306.939091118,526427.477976603,526427.477976603,526427.477976603,526427.477976603,552583.588000996,552583.588000996,102422.814469061,102422.814469061,102422.814469061,190025.498586614,190025.498586614,190025.498586614,340430.576047373,330042.335891985,79558.9207853811
