,CH2017,CH2018,CH2021,CH2022,HM2017,HM2018,HM2021,JC2017,JC2018,JC2021,MM2017,MM2018,MM2021,PL2017,PL2018,PL2021,PL2022,RP2021,RP2022,SC2017,SC2018,SC2021,SM2017,SM2018,SM2021,SS2017,UK2017,VC2017
CH2017,0,0.738589212,0.895805142,0.949552482,0.899517348,0.894490035,0.869402819,0.908472803,0.947865218,0.918732185,0.80270323,0.834648628,0.940565209,0.925816024,0.900982318,0.86390561,0.973684211,0.857447634,0.962184874,0.83570174,0.856264324,0.909961154,0.916136279,0.906581741,0.783246073,0.935546875,0.991452991,0.937753721
CH2018,0.738589212,0,0.79245283,0.688311688,0.940643863,0.778956373,0.892388451,0.985635359,0.978369384,0.938650307,0.949841844,0.766421909,0.861265647,0.956521739,0.844936709,0.839254766,0.96559633,0.830448065,0.830396476,0.986342944,0.970149254,0.940677966,0.989583333,0.905797101,0.814102564,0.87826087,1,0.981132075
CH2021,0.895805142,0.79245283,0,0.695281782,0.968413664,0.902186692,0.94026377,0.987115956,0.964218456,0.951030928,0.972477064,0.930379747,0.967545144,1,0.988826816,0.914529915,0.99575419,0.223652258,0.93115942,0.919751466,0.968932039,0.982426905,0.980582524,0.765395894,0.951111111,0.981481481,1,1
CH2022,0.949552482,0.688311688,0.695281782,0,0.975765679,0.852976428,0.916989843,1,1,0.943437432,0.955158265,0.776951673,0.467540984,1,0.717661193,0.601670628,0.953888407,0.610794065,0.160680529,0.991930836,1,0.928361345,1,0.988826816,0.824561404,0.885496183,1,1
HM2017,0.899517348,0.940643863,0.968413664,0.975765679,0,0.404971894,0.450674318,0.743118318,0.723020758,0.645670804,0.616129965,0.724605654,0.911253779,0.926298549,0.825456284,0.665582494,0.73773842,0.861241602,0.97588909,0.613482483,0.64,0.655352416,0.899772021,0.851482681,0.626882966,0.63232478,0.809057528,0.965556831
HM2018,0.894490035,0.778956373,0.902186692,0.852976428,0.404971894,0,0.424549961,0.685380258,0.685825359,0.568169473,0.743723965,0.711208262,0.789935001,0.958702065,0.636746512,0.581952954,0.735660669,0.870841103,0.861096606,0.741780739,0.697455063,0.612372749,0.917695473,0.800623053,0.601231066,0.641092328,0.958506224,0.980276134
HM2021,0.869402819,0.892388451,0.94026377,0.916989843,0.450674318,0.424549961,0,0.801845772,0.714440629,0.504974744,0.738346208,0.715292395,0.732352941,0.928994083,0.716981132,0.575143861,0.676919198,0.772463609,0.917821159,0.73658442,0.674310961,0.630780569,0.777614463,0.7522967,0.61785682,0.797297297,0.903182126,0.927710843
JC2017,0.908472803,0.985635359,0.987115956,1,0.743118318,0.685380258,0.801845772,0,0.543756382,0.428344682,0.679230036,0.941746367,0.947291218,0.967895363,0.861530453,0.851792995,0.939911635,0.945764982,1,0.674080367,0.811902839,0.834138456,0.845300712,0.860820427,0.846881309,0.924078091,0.984344423,0.891395593
JC2018,0.947865218,0.978369384,0.964218456,1,0.723020758,0.685825359,0.714440629,0.543756382,0,0.443634324,0.751846641,0.937325905,0.954682779,0.93902439,0.858744395,0.808059884,0.873446981,0.978418954,1,0.712081886,0.655275674,0.735622854,0.880462725,0.691504784,0.698642534,0.840749415,0.957446809,0.878504673
JC2021,0.918732185,0.938650307,0.951030928,0.943437432,0.645670804,0.568169473,0.504974744,0.428344682,0.443634324,0,0.529772823,0.86702474,0.827012204,0.914086687,0.804680626,0.725562854,0.823981311,0.813419294,0.943358058,0.611476851,0.614924523,0.721810899,0.798037612,0.715969989,0.531520352,0.913657771,0.983739837,0.606210303
MM2017,0.80270323,0.949841844,0.972477064,0.955158265,0.616129965,0.743723965,0.738346208,0.679230036,0.751846641,0.529772823,0,0.541985707,0.886098811,0.742745988,0.844032409,0.376774435,0.685429843,0.89222207,0.956967213,0.300073863,0.290683875,0.362970711,0.536202677,0.595829196,0.332219735,0.682043796,0.668085106,0.738570346
MM2018,0.834648628,0.766421909,0.930379747,0.776951673,0.724605654,0.711208262,0.715292395,0.941746367,0.937325905,0.86702474,0.541985707,0,0.513784461,0.948096886,0.60748503,0.533570203,0.572215121,0.848926584,0.722772277,0.811626552,0.789390703,0.518781856,0.939312807,0.825646311,0.647638339,0.715447154,0.965938865,0.883116883
MM2021,0.940565209,0.861265647,0.967545144,0.467540984,0.911253779,0.789935001,0.732352941,0.947291218,0.954682779,0.827012204,0.886098811,0.513784461,0,0.951612903,0.512623491,0.200447628,0.232124937,0.623407198,0.521367521,0.874169871,0.927428794,0.608587795,0.905151729,0.911343524,0.550463089,0.867397807,1,0.991341991
PL2017,0.925816024,0.956521739,1,1,0.926298549,0.958702065,0.928994083,0.967895363,0.93902439,0.914086687,0.742745988,0.948096886,0.951612903,0,0.96460177,0.788069074,0.876212208,0.967213115,1,0.873786408,0.934640523,0.761607143,0.77173913,0.848866499,0.755555556,1,1,0.884615385
PL2018,0.900982318,0.844936709,0.988826816,0.717661193,0.825456284,0.636746512,0.716981132,0.861530453,0.858744395,0.804680626,0.844032409,0.60748503,0.512623491,0.96460177,0,0.360527894,0.410899654,0.917210236,0.624857469,0.872340426,0.827773468,0.620768396,0.940298507,0.851239669,0.467041801,0.659528908,0.987730061,1
PL2021,0.86390561,0.839254766,0.914529915,0.601670628,0.665582494,0.581952954,0.575143861,0.851792995,0.808059884,0.725562854,0.376774435,0.533570203,0.200447628,0.788069074,0.360527894,0,0.166262136,0.595494561,0.632581512,0.603097758,0.646207385,0.18945032,0.621964529,0.772911598,0.198342033,0.613254001,0.985436893,0.986607143
PL2022,0.973684211,0.96559633,0.99575419,0.953888407,0.73773842,0.735660669,0.676919198,0.939911635,0.873446981,0.823981311,0.685429843,0.572215121,0.232124937,0.876212208,0.410899654,0.166262136,0,0.639294862,0.95433316,0.748751719,0.613681368,0.293333333,0.474333282,0.840029086,0.451295226,0.951219512,0.991454864,1
RP2021,0.857447634,0.830448065,0.223652258,0.610794065,0.861241602,0.870841103,0.772463609,0.945764982,0.978418954,0.813419294,0.89222207,0.848926584,0.623407198,0.967213115,0.917210236,0.595494561,0.639294862,0,0.686567164,0.813234579,0.933344067,0.667924528,0.946746932,0.898617512,0.620535714,0.933808554,1,0.971291866
RP2022,0.962184874,0.830396476,0.93115942,0.160680529,0.97588909,0.861096606,0.917821159,1,1,0.943358058,0.956967213,0.722772277,0.521367521,1,0.624857469,0.632581512,0.95433316,0.686567164,0,0.992537313,1,0.933954727,1,1,0.842253521,0.872727273,1,1
SC2017,0.83570174,0.986342944,0.919751466,0.991930836,0.613482483,0.741780739,0.73658442,0.674080367,0.712081886,0.611476851,0.300073863,0.811626552,0.874169871,0.873786408,0.872340426,0.603097758,0.748751719,0.813234579,0.992537313,0,0.215680595,0.410754707,0.520084961,0.586064975,0.446342369,0.718129543,0.744535519,0.819502075
SC2018,0.856264324,0.970149254,0.968932039,1,0.64,0.697455063,0.674310961,0.811902839,0.655275674,0.614924523,0.290683875,0.789390703,0.927428794,0.934640523,0.827773468,0.646207385,0.613681368,0.933344067,1,0.215680595,0,0.456341367,0.623269734,0.668281291,0.383922945,0.562289562,0.517006803,0.899665552
SC2021,0.909961154,0.940677966,0.982426905,0.928361345,0.655352416,0.612372749,0.630780569,0.834138456,0.735622854,0.721810899,0.362970711,0.518781856,0.608587795,0.761607143,0.620768396,0.18945032,0.293333333,0.667924528,0.933954727,0.410754707,0.456341367,0,0.573628011,0.707936508,0.264204545,0.646586345,0.691111111,0.94017094
SM2017,0.916136279,0.989583333,0.980582524,1,0.899772021,0.917695473,0.777614463,0.845300712,0.880462725,0.798037612,0.536202677,0.939312807,0.905151729,0.77173913,0.940298507,0.621964529,0.474333282,0.946746932,1,0.520084961,0.623269734,0.573628011,0,0.487437186,0.388235294,0.955882353,0.985185185,0.893081761
